Title,Price,Description,Condition,GenreNew,
Sydney Australia Tramway system books,20,"Set of 9 books on the Tramway system of Sydney Australia. As priced or $200 for all.

Tramways of Sydney. David Keenan. Soft cover. $20.
The Western lines of the Sydney Tramway System. David Keenan. Soft cover. $20
The Watson's Bay Line of the Sydney Tramway  System. David Keenan. Soft Cover. $20
City Lines of the Sydney Tramway System. David Keenan. Soft cover.  $50.
The Ryde Line of the Sydney Tramway System. David Keenan. Soft cover. $50.
The Eastern Lines of the Sydney Tramway System. David Keenan. Soft cover. $30.
The South-Western Lines of the Sydney Tramway System. David Keenan. Soft cover. $20
The Rockdale and Enfield Lines of the Sydney Tramway System. David Keenan. Soft cover. $20.
The Manly Lines of the Sydney Tramway System. K. McCarthy. Soft cover.  $30.

Ted Bellevue",excellent,Travel,
CHILDRENS BOOKS - Assorted,10,"10 HARDBACK CHILDREN'S BOOKS
ALL IN GREAT CONDITION!
10.00obo

CAN DELIVER TO YOU ON EASTSIDE OR CAN MEET YOU 😃


I ALSO HAVE:

******
10 SMALL/MEDIUM PAPERBACK
AND
10 LARGE PAPERBACK
CHILDREN'S BOOKS FOR SALE
15.00 FOR ALL 20obo

******
6 LITTLE GOLDEN BOOKS
5.00 obo


Make an offer for all!!!

😃THANKS A BUNCH!!!",excellent,Children's Books,
BIG old Webster's Dictionary,20,"6"" thick dictionary that needs to be your home library on a pedestal. Find everything and don't rely on google (this is a time-honored way to define words!). This is a rare find and it is for sale now. Selling everything to prepare for move-antiques, vintage clothing, toys, dishes, sports items, car, etc. Call for appt. and I take cash only. Thanks. Visit Issy 98027 today!",good,Education & Teaching,
--Harley-Davidson--,3,"""Harley Davidson the Living Legend""
by William Green
Copyright 1991
ISBN 0-517-06683-
Bol size 12” x 9.5”

New new condition
$3.00
(Lv phone# for response)
---------------------------------",new,Engineering & Transportation,
The Rolling Stones,8,"""The Rolling Stones - The First Twenty Years""
ISBN 0394708121
First Edition --Oct 1981
10.5"" x 12""
clean / fine condition
has been in dry storage

$8.00
(not a dealer - I just have)
(leave phone# for serious response)

-------------------------------------------",new,Fiction,
Vintage Yosemite & Redwoods,3,"Tourist Guidebooks from past mid-century.
From no pets non-smoking house.
$3.00 each or both for $5.00.",good,Travel,
1962 Bullwinkle A Little Golden Book 1st Printing,7,"1962 Bullwinkle A Little Golden Book 1st Printing
Vintage Children's Picture Storybook 
Story about when Bullwinkle the mosse dreams of becoming a firefighter and then gets a job as one
Story By: David Corwyn
Illustrated by: Hawley Pratt and Harry Garo
No torn or missing pages. Clean. 
Firm binding.
Collectible children’s book
From the television cartoon show Bullwinkle and Rocky
Nonsmoking no pet home
$ 7 firm",excellent,Children's Books,
ATLAS SHRUGGED NOVEL by AYN RAND,13,"Atlas Shrugged novel by Ayn Rand author of The Fountainhead. Centennial edition 2005, paperback 1168 pages
No stains, writing, minor shelf wear. Can meet or mail",good,Fiction,
NEW!  My Wonderful World of Fashion,12,"NEW!  My Wonderful World of Fashion...$12, cash

An interactive coloring book for fashionistas of all ages, My Wonderful World of Fashion is packed with beautiful and sophisticated illustrations specially created by the leading fashion-illustrator Nina Chakrabarti.

The book encourages creativity, with illustrations to color in and designs to finish off, as well as simple ideas for making and doing (how to make a sari, turn a napkin into a headscarf, dye a T-shirt, and so on). Covering clothing, shoes, bags, jewelry, and other accessories, the illustrations span both vintage fashions drawing on beautiful and interesting objects from past ages and contemporary designs from the illustrator's own imagination.

'Did you know...?' features that give brief historical notes encourage children to be inspired by history and by other cultures. A wonderful celebration of fashion, the book will appeal to fashion addicts from 8 years plus.

-New, unused 
-Heavy car stock pages
-Age range 8 and up
-Smoke-free. pet-free home",new,Teen & Young Adult,
Conan the Barbarian paperback book set,100,10 book set all in very good condition wuthiut damage.,good,Children's Books,
Wildlife Fact Files. Five binders filled with animal fact files.,10,Wildlife Fact Files. There are five filled notebooks. Great for those school projects involving an animal. Great for home school.,excellent,Education & Teaching,
"Classic ""Barbie: Magazine for Girls"" from 1995-6",10,"Classic ""Barbie: The Magazine for Girls"", 11 issues.  March/April 1995 through November/December 1996. Some are in new condition and all are in reasonable condition. Collectible. These can be mailed as media mail. Given the title, look how far we have come!",like new,Children's Books,
Taste of Home - Cake Mix creations,20,"216 recipes

New condition",new,"Cookbooks, Food & Wine",
Creole Feast by Nathaniel Burton & Rudy Lombard,30,"Used but in very good condition. Has all pages.

Creole Feast - 15 Master Chefs of New Orleans Reveal Their Secrets",excellent,"Cookbooks, Food & Wine",
Cooking - A Commonsense Guide,10,Cooking - A Commonsense Guide,new,"Cookbooks, Food & Wine",
Eat Up Slim Down - Annual Recipes 2009,10,Eat Up Slim Down - Annual Recipes 2009,new,"Cookbooks, Food & Wine",
Simple Chinese Cooking by Kylie Kwong,30,"Simple Chinese Cooking

Used but in great condition with all pages",excellent,"Cookbooks, Food & Wine",
Martha Stewart's Dinner at Home - 52 Quick Meals to Cook for Family an,18,Martha Stewart's Dinner at Home - 52 Quick Meals to Cook for Family and Friends,new,"Cookbooks, Food & Wine",
Dictionary of Business & Legal Terms,35,"Russian-English
English-Russian

By Shane R. DeBeer",like new,Education & Teaching,
"Japanese Cooking - the traditions, techniques, ingredients and recipes",8,"Used but in good condition

Japanese Cooking - the traditions, techniques, ingredients and recipes",excellent,"Cookbooks, Food & Wine",
Russian for the Business Traveler,8,"Russian for the Business Traveler by Shane R. De Beer 

Barron's Business Travelers",excellent,Travel,Travel
The Gluten-Free Gourmet by Bette Hagman,15,The Gluten-Free Gourmet - living well without wheat,new,"Cookbooks, Food & Wine",
Julia Child: The Way to Cook Cookbook,25,"Julia Child: The Way to Cook. . ..$25, cash
_________________________________________________________

*To view more of my book listings, type lbsbooks in the search bar
__________________________________________________________
 Julia Child gives us her magnum opus--the distillation of a lifetime of cooking!

In this spirit, Julia has conceived her most creative and instructive cookbook, blending classic techniques with free-style American cooking and with added emphasis on lightness, freshness, and simpler preparations. Breaking with conventional organization, she structures the chapters (from Soups to Cakes & Cookies) around master recipes, giving all the reassuring details that she is so good at and grouping the recipes according to method; these are followed--in shorthand form--by innumerable variations that are easily made once the basics are understood.

In all, there are more than 800 recipes, including the variations--from a treasure trove of poultry and fish recipes and a vast array of fresh vegetables prepared in new ways to bread doughs (that can be turned into pizzas and calzones and hamburger buns) and delicious indulgences, such as Caramel Apple Mountain or a Queen of Sheba Chocolate Almond Cake with Chocolate Leaves. And if you want to know how a finished dish should look or how to angle your knife or to fashion a pretty rosette on that cake, there are more than 600 color photographs to entice and instruct you along the way.

A one-of-a-kind, brilliant, and inspiring book from the incomparable Julia!

-In like-new condition
-Classic cookbook
-Full color photographs throughout
-Hardcover, 528 pages
-Smoke-free, pet-free home


-cookbooks, recipes",like new,"Cookbooks, Food & Wine",
NEW!  Inspired Coloring Book + Colored Pencils,10,"Inspired Coloring Book + Colored Pencils...$10, cash

Featuring over 100 stunning designs, this remarkable coloring book is guaranteed to inspire wanderlust in all who color it. From beautifully detailed cityscapes in Paris and New York to palm tree-studded beaches majestic Asian temples, each page is crying out for some ink. Coloring is a fantastic way to inspire both mindfulness and creativity, improve coordination, and hone artistic skill.

-New, unused
-Adult coloring book
-Paperback 128 pages

Pre-Sharpened Colored Pencils
-New, unused
-10 count
-Thick leads for smooth, rich color
-Non-toxic, conforms to ASTM-D-4236


-stocking stuffer, traveller, Delta, travel, jet setter",new,Children's Books,
~~~  Dog Books ~~~,$5 ,"Dog Books... $5 each or 2 for $10, cash

-In excellent condition
-Paperback + hardback
-Smoke-free, pet-free home

-Dog On It by Spencer Quinn (paperback)
-The Art of Racing in the Rain by Garth Stein (paperback)...SOLD!!
-Love at First bark by Julie Klam (hardback)



-dogs",excellent,"Arts, Crafts & Photography",
Diet/Health/Well Being Books,3,"Diet/Health/Well Being Books...$3 each or all 4/$10, cash

-In like-new condition
-Paperback
-Smoke-free, pet-free home

-The Wellspring Weight Loss Plan by Daniel S. Kirschenbaum, PhD
-The South Beach Diet By Arthur Agatston, MD
-Better Because of You by Ginny Hutchinson & Cathy Haffner
-The Life Guide by Robert Ashton",like new,Education & Teaching,
Plato and a Platypus Walk into a Bar...,5,"Plato and a Platypus Walk into a Bar...$5, cash
______________________________________________________________________________

*To view more of my book listings, type emsbooks in the search bar
______________________________________________________________________________

Here's a lively, hilarious, not-so-reverent crash course through the great philosophical traditions, schools, concepts, and thinkers. Its Philosophy 101 for everyone who knows not to take all this heavy stuff too seriously. Some of the Big Ideas are Existentialism (what do Hegel and Bette Midler have in common?), Philosophy of Language (how to express what its like being stranded on a desert island with Halle Berry), Feminist Philosophy (why, in the end, a man is always a man), and much more. Finally it all makes sense!

-In like-new condition
-Paperback, 215 pages
-Smoke-free, pet-free home",like new,Education & Teaching,
Kaplan ACT & SAT Diagnostic Tests & Final Tests Book,10,"In good condition.

Edges and pages are fine and readable.",good,Education & Teaching,
The Penguin - Russian Dictionary,50,"The Penguin

English-Russian
Russian-English

W.F. Ryan and Peter Norman",like new,Education & Teaching,
Weber's Big Book of Grilling,10,"Book by Jamie Purviance and Sandra S. McRae

Used but in very good condition",excellent,"Cookbooks, Food & Wine",
Taste of Liberty: A Celebration of Our Great Ethnic Cooking,15,European immigrant recipes,like new,"Cookbooks, Food & Wine",
Sunset All-Time Favorite Recipes Cookbook,7,"Sunset All-Time Favorite Recipes. . .$7, cash
______________________________________________________________________________

*To view more of my book listings, type lbsbooks in the search bar
______________________________________________________________________________

Nominated by Sunset magazine readers, these recipes represent a generous sampling of more than 500 favorites published since 1929.  They reflect Sunset's unique blend of traditional and innovative, comfortable and cosmopolitan.  

-In very good condition
-Over 500 recipes
-Paperback, 234 pages
-Smoke-free, pet-free home

-cookbooks, cookbook",excellent,"Cookbooks, Food & Wine",
The Red Balloon by A. Lamorisse,10,"The Red Balloon by A. Lamorisse...$10, cash

Based on the Academy Award-winning film, The Red Balloon is the moving story of a boy and his best friend--a bright red balloon. Told through captivating photographs taken during filming, and set against the unmistakable beauty of the streets of Paris, Albert Lamorisse's beloved story is a moving tribute to childhood that continues to inspire readers of every generation.

-In like-new condition
-Hardback
-48 pages
-Age Range: 3 - 7 years
-Grade Level: Preschool - 2
-Smoke-free, pet-free home

*To view more of my book listings, type es9books in the search bar",like new,Children's Books,
1991 BILLBOARD MAGAZINES FOR SALE,40,"1991 Billboard magazines for sale all in near mint condition a rare find with special fold outs included.
Own a piece of history for less than a dollar per magazine all in excellent or near mint condition. Cash only no checks please e-mail, text, or call.",like new,Humor & Entertainment,
1990 BILLBOARD MAGAZINE,40,"Vintage 1990 Billboard magazines for sale all are in near mint condition with the special fold out inserts
included. There are 50 each individual magazine for less than a dollar each all in excellent near mint condition. Call me, text, or e-mail, cash only no checks please.",excellent,Humor & Entertainment,
Christmas with Martha Stewart Living Book,10,"Christmas with Martha Stewart Living Book…$10, cash

Begin new traditions and make Christmas season even more beautiful with this collection of easy-to-follow recipes, inventive decorative ideas and homemade holiday gifts.  Create elegant flower arrangements and shimmering garlands, treasured ornaments and enticing gift wraps, handmade candies, heavenly meringues, and the most delicious cookies.

-In like-new condition
-Paperback, 144 pages
-Smoke-free, pet-free home",like new,Religion & Spirituality,
NEW!  Martha Stewart's Baking Handbook,15,"Martha Stewart's Baking Handbook...$15, cash
_______________________________________________________________________________

*To view more of my book listings, type lbsbooks in the search bar
_______________________________________________________________________________

Every new book from Martha Stewart is cause for celebration, and with Martha Stewart's Baking Handbook, she returns to bring the pleasures of baking to readers at every level, from beginner to expert and beyond. A culinary compendium packed with more than 200 foolproof recipes for the best baked goods, Martha Stewart's Baking Handbook takes readers by the hand and guides them through the process of creating an irresistible variety of cakes, cookies, pies, tarts, breads, and much more. 

This essential addition to every cook's library is rich with tips, techniques, and the mouthwatering and stunning recipes for which Martha Stewart is so well known. Covering a delectable array of topics from simple to sophisticated, including biscuits, muffins, scones, cookies, layer cakes, specialty cakes, sweet and savory pies and tarts, and pastries and breads, she provides a dazzlingly delicious yet crystal-clear, vividly illustrated repertoire of recipes. There are cakes that are elegant enough for formal occasions, such as showers, weddings, and dinner parties, and basic favorites meant to be enjoyed every day and then passed down through the generations. Every chapter includes indispensable visual equipment glossaries and features vital make-ahead information and storage techniques. Organized for maximum clarity and practicality, the handbook also offers step-by-step how-to photographs that demystify even the most complex and nuanced techniques. These culinary building blocks will turn good bakers into great bakers, and make great bakers even better.

Filled with time-honored classics, such as Marble Cake with White-Chocolate Glaze, Apple Pie, Challah, Baba au Rhum, and Croissants...YUM!!

-Unused, in like-new condition
-Hardcover
-416 pages
-Size:  1.3 x 8.5 x 10.3 inches
-Pet-free, smoke-free home

-cookbook, cookbooks",like new,"Cookbooks, Food & Wine",
2001 BILLBOARD MAGAZINES,40,"Vintage 2001 Billboard magazines for sale all are in near mint condition with special fold out 
and inserts included. There are 52 individual magazines for less than a dollar each, cash only no checks please. Also included are the 911 issues that have important historical information about the World Trade Center tragedy. Own a piece of history. Call me, text or e-mail.",excellent,Humor & Entertainment,
2001 BILLBOARD MAGAZINES,40,"Vintage 2001 Billboard magazines for sale all are in near mint condition with special fold out 
and inserts included. There are 52 individual magazines for less than a dollar each, cash only no checks please. Also included are the 911 issues that have important historical information about the World Trade Center tragedy. Own a piece of history. Call me, text or e-mail.",excellent,Humor & Entertainment,
Pull Up A Chair recipe cookbook By Tiffani Thiessen,10,"Excellent like-new condition: no markings, no highlights, no water damage! Smoke free and pet free home!

(Tiffani Thiessen from Saved By The Bell)

Must pick up in Ballard & Cash only.
Text or email if interested!
Thanks",good,"Cookbooks, Food & Wine",
The Best of Martha Stewart Living Holidays Book,10,"The Best of Martha Stewart Living Holidays Book…$10, cash

Recipes, gifts, decorations for Thanksgiving and Christmas.

-In like-new condition
-Paperback, 144 pages
-Smoke-free, pet-free home",like new,"Arts, Crafts & Photography",
The Martha Stewart Living Cookbook,15,"The Martha Stewart Living Cookbook. . ..$15, cash
______________________________________________________________________________

*To view more of my book listings, type lbsbooks in the search bar
______________________________________________________________________________


The Martha Stewart Cookbook is a compendium of the best of the best from the food pages of every issue. 

Organized in trademark style, this cookbook features nineteen classically arranged chapters from Basics, Breakfast, and Hors d'Oeuvres to Meat, Poultry, Fish and Shellfish and Desserts. In between there are Salads, Soups, Vegetables and whole chapters devoted to Vegetarian Main Courses and Potatoes. Throughout, there are basic classes--cooking 101s--for making food that should be in every cook's repertoire: macaroni and cheese, omelets, roast turkey, fried chicken and mashed potatoes. Specialty dishes are here, too, whether the occasion calls for a casual cocktail party, dinner with the in-laws, or a sit down luncheon for a bride-to-be. 

-In like-new condition
-Hardback, 640 pages
-1200 recipes
-Cooking tips and techniques
-Pantry and equipment glossaries
-Smoke-free, pet-free home

-cookbooks",like new,"Cookbooks, Food & Wine",
"Hundreds of old car magazines, mostly Corvette - $.50 each",0,"I have collected hundreds of old magazines:  Vette Vues,  Vette, Keeping Track of Corvette, CORVETTE MAGAZINE, NCRS The Corvette Restorer, NCRS Driveline, Hemmings Muscle Machines. Classic Car, Car and Driver, Street Rodder, Motortrend, Automobile, and Road and Track for 50 cents each.  I also have many original Corvette News magazines for $1.00 each.  Call Bill at  show contact info
.  If no answer, please leave a phone number and talk slowly. This is a ground line and I do not text or have caller ID.",excellent,Engineering & Transportation,Engineering & Transportation
"Chronicle of the American Automobile, over 100 years of auto history",30,"Chronicle of the American Automobile by James Flammang contains 608 pages and the entire book is like new.  It illustrates 100 years of the American auto industry, and the great cars and personalities that set the standard for the world.  Lively pictures/captions format, chronologically arranged in handy year-by-year timelines.  Asking $30 cash.  Call Bill at  show contact info
.  If no answer, please leave a phone number and talk slowly. This is a ground line and I do not text or have caller ID.",like new,Engineering & Transportation,
"Effective Project Management: Traditional, Agile, Extreme 7th Edition",20,"Brand New Effective Project Management: Traditional, Agile, Extreme 7th Edition book by Robert K. Wysocki for sale: $20 OBO. Still in original package.",new,Education & Teaching,
Samsung Wireless lab Adapter,25,Samsung Wireless lab Adapter:$25 works like new.,excellent,Engineering & Transportation,
Gold series Rock n Roll and Soul original recordings.,30,"The Roots of Rock n Roll and Soul 51 original recordings each. This is Gold series of Sun Entertainment, 3 new CD's in each box and 51 original recordings in each box also. Jerry Lee Lewis, Carl Perkins, Johnny Cash... Marvin Gaye, The Temptations, The Four Tops...including 48 top 10s. New in original sealed boxes. $ 30. Thanks.",new,Humor & Entertainment,
Better Homes and Gardens Limited Edition Cook Book,10,Good condition,good,"Cookbooks, Food & Wine",
1960 Nat’l Geographic Map-Africa,12,"-Manufacturer: “Compiled and Drawn in the Cartographic Division of The National Geographic Society for the National Geographic Magazine
-Date: September,1960
-Editor: Melville Bell Grosvenor
-Chief Cartographer: James M. Darley

“Boundaries on this map reflect the political situation as of July 151, 1960, the day the map went to press.”  “This map was created when many African nations were struggling and winning their independence from colonization…. Published … with three articles including ‘Africa: The Winds of Freedom Stir a Continent.’”

Measures: 25 inches long x 19 inches wide",excellent,Travel,
Math: StMath 390 Course Pack UWB,25,"Coursepack For BSTMATH 390 (2E 14)
by Altschul
Use for Stats at UW Bothell

ISBN: 9780118997591
SKU: P7714454
Good condition $25.00
AL 4254-244-1799",excellent,Education & Teaching,
Fix It Yourself Book from Reader’s Digest,8,"~~~~~~   CONTACT RON AT: Cell phone:  show contact info
   ~~~~~~

Great book on how to DIY for fixing all kinds of items around your house.  Save the cost of hiring a handyman for something you probably can do yourself.

Book is in excellent condition.  It contains 480 pages of great useful tips and how-to fix common items around your home yourself.

Selling this only because I have two copies.


PLEASE NOTE:

1.   >>>>> PHONE CALLS ONLY.  I  NEVER respond to any E-MAILS or unsolicited TEXTS.  Call first and we’ll continue from there <<<<<

2. Cash only and no bills over a $20.00 bill.....no exceptions please.

3. My phone number is listed in this ad several times.  Call if you have a question
…….Four Zero eight, 9 six 0 – nine 670…..


PLEASE DON’T TEXT asking if I still have this item.  If it’s still on Creigslist, I still have it as I remove my ads within 3 minutes after an item has sold.



~~~~~~   CONTACT RON AT: Cell phone:  show contact info
   ~~~~~~


This item may be seen and purchased in SE Olympia, WA.

Click on the “More Ads by This User” to pull up my other bargains currently for sale.",like new,Education & Teaching,Education & Teaching
The Greatest Muhammad Ali,15,"The Greatest , Hardback , Muhammad Ali with Richard Durham .",excellent,Biographies & Memoirs,
The new woman's day cookbook,10,"Book is in Excellent condition 
""Cookbook for every occasion""
""Simple recipes"" 

ISBN: 1933231017",excellent,"Cookbooks, Food & Wine",
Bentley VW Service Manual 1977-84 Rabbit/Jetta Diesel,20,Robert Bentley publication. 1977 through 1984 Volkswagen Rabbit and Jetta diesel service manual in excellent complete condition. Includes pickup truck and turbo-diesel.,excellent,Engineering & Transportation,
Bentley VW Service Manual 1977-82 Rabbit/Jetta Diesel,20,Robert Bentley publication. 1977 through 1982 Volkswagen Rabbit and Jetta diesel service manual in good complete condition. Includes pickup truck and turbo-diesel.,good,Engineering & Transportation,
1963 TV GUIDE,10,June 1963 Seattle TV Guide .,good,Engineering & Transportation,
Vintage 1960’s Comic Books (7),30,"Set of seven vintage comic books from 1960’s:  All in good condition given age, one with small tear on edge.

Casper the Friendly Ghost
Mickey Mouse (2):  The Phantom Blot, and the Case of the Cankong Ruby
Woody Woodpecker
The Wild Wild West
Walt Disney: The Scarecrow
Popeye",good,Children's Books,
Cookbook - Dinner in Half an Hour (New-Hardback),5,"Recipes to the Rescue
Dinner in a Dash, Dessert in a flash.  The Must Have Book for the Last Minute Cook!
8"" x 10""
cash only",new,"Cookbooks, Food & Wine",
The Clark New Pocket Music Dictionary,2,"165 pages
3.5 x 5.75 x .5""
cash only",good,Education & Teaching,
Legendary Lighthouses - Companion To The All-new PBS Series,10,"by Ray Grant, John Jones
196 pages",like new,Travel,
Chinese Health Book with CD,5,"122 pages
Comes with CD

Cash sale",excellent,Education & Teaching,
Drives of a Lifetime: 500 of the World's Most Spectacular Trips,9,"National Geographic presents the great outdoors through the world’s best auto trips, for nature lovers, hikers, and adventurers. Pack your suitcase, load up the car, and head for the open road! This lavishly illustrated, hardcover travel planner and gift book gives you every bit of information you'll need to navigate amazing driving routes in some of the world's most fascinating locales.

12"" x 9.25"" x 1""
320 pages

Hard cover",new,Travel,
English/Spanish (and reverse) Dictionary,7,"Hard-back.

Unique Dictionary - two sections:
* English to Spanish
* Spanish to English

502 pages

Cash only",excellent,Education & Teaching,
